ma_nganh,to_hop_thi,diem_Toan,diem_Ly,diem_Hoa,diem_Anh,diem_Van,diem_Su,diem_Sinh,diem_Dia,diem_Gdktpl,diem_Tin
7480202,A01,8.2,7.0,,7.6,,,,,,
7340129,D01,5.6,,,7.8,7.5,,,,,
7510303,A00,7.0,7.25,6.8,,,,,,,
7340115,A00,7.25,7.25,8.6,,,,,,,
7510406,A00,6.5,5.75,7.4,,,,,,,
7340301,D01,7.2,,,7.6,8.25,,,,,
7480201,D01,7.5,,,7.0,6.6,,,,,
7220204,D01,8.6,,,7.4,7.0,,,,,
7510303,A00,6.0,8.0,7.0,,,,,,,
7540106,B00,6.6,,6.25,,,,5.5,,,
7540101,B00,7.5,,8.25,,,,7.0,,,
7340101,A00,7.75,7.0,7.6,,,,,,,
7340101,A00,7.0,7.75,6.6,,,,,,,
7220204,D09,9.25,,,7.8,,7.0,,,,
7810201,A00,7.5,6.0,6.8,,,,,,,
7540101,D07,8.0,,8.0,8.8,,,,,,
7220201,D09,8.75,,,7.6,,7.2,,,,
7540101,B00,7.75,,8.0,,,,7.6,,,
7340120,D01,8.2,,,8.6,7.5,,,,,
7380107,D01,7.0,,,6.0,7.4,,,,,
7480201,A01,7.8,6.5,,8.4,,,,,,
7819009,A00,4.75,5.75,6.8,,,,,,,
7340115,D01,8.75,,,7.8,6.8,,,,,
7340301,D01,8.2,,,6.8,7.75,,,,,
7340120,D01,9.0,,,6.8,7.2,,,,,
7380107,D01,7.75,,,7.0,7.2,,,,,
7480202,D01,6.75,,,6.4,3.8,,,,,
7220201,D01,6.8,,,8.4,8.0,,,,,
7540101,D07,7.8,,7.5,8.8,,,,,,
7540101,B00,8.4,,7.75,,,,7.5,,,
7810201,D01,6.0,,,6.8,6.6,,,,,
7810201,A00,7.75,7.5,7.6,,,,,,,
7340120,A00,8.0,8.25,7.8,,,,,,,
7480201,A00,6.5,8.25,7.4,,,,,,,
7510203,A00,7.25,6.75,7.6,,,,,,,
7340301,A00,6.25,5.75,7.6,,,,,,,
7540101,B00,8.6,,8.25,,,,7.75,,,
7340301,D01,8.0,,,6.6,8.0,,,,,
7380107,D01,8.2,,,6.6,7.0,,,,,
7540101,D07,6.75,,8.2,8.6,,,,,,
7340101,A00,7.6,7.25,8.25,,,,,,,
7510203,D01,7.5,,,7.0,5.4,,,,,
7480201,A00,8.0,7.25,7.2,,,,,,,
7850101,A00,6.6,6.5,6.5,,,,,,,
7340101,A00,7.25,7.5,7.4,,,,,,,
7510203,A00,7.2,6.25,7.5,,,,,,,
7850101,A00,8.0,5.5,6.25,,,,,,,
7810201,D01,8.2,,,6.8,7.75,,,,,
7540204,A00,8.4,5.25,7.75,,,,,,,
7420201,A01,6.0,5.4,,7.4,,,,,,
7510301,A01,6.75,6.0,,6.4,,,,,,
7540101,B00,7.0,,8.25,,,,7.2,,,
7510301,A00,7.6,6.75,7.25,,,,,,,
7340101,D01,8.5,,,7.8,7.0,,,,,
7340201,A00,7.25,7.75,7.2,,,,,,,
7510303,D01,6.0,,,6.4,6.0,,,,,
7480201,D01,5.75,,,7.6,7.8,,,,,
7380107,A00,7.75,8.0,7.4,,,,,,,
