to_hop_thi,ma_nganh,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,nguon,j_nganh,ma_nhom
D01,7340129,5.6,,7.2,8.75,,,,,,,ttth,7,7
D01,7340115,7.2,,8.2,9.25,,,,,,,ttth,3,1
A00,7380107,,,,7.75,,,,7.75,8.0,,ttth,12,8
A00,7810202,,,,7.8,,,,8.5,8.25,,ttth,35,4
A00,7340115,,,,7.5,,,,6.75,7.6,,ttth,3,1
D01,7340101,6.6,,7.2,7.25,,,,,,,ttth,2,1
A00,7850101,,,,6.25,,,,5.25,6.8,,ttth,38,7
D01,7810103,3.8,,7.6,8.25,,,,,,,ttth,33,4
A01,7480202,,,8.8,6.4,,,,5.25,,,ttth,17,0
A00,7380107,,,,7.0,,,,7.75,7.4,,ttth,12,8
A00,7540106,,,,6.75,,,,6.25,7.6,,ttth,30,7
A00,7480201,,,,7.5,,,,7.0,8.4,,ttth,16,0
A00,7340101,,,,7.0,,,,8.0,7.4,,ttth,2,1
D01,7340301,9.25,,5.6,8.2,,,,,,,ttth,10,2
D01,7340120,7.0,,8.0,8.6,,,,,,,ttth,4,1
D01,7220201,7.75,,9.2,6.8,,,,,,,ttth,0,8
B00,7540101,,,,7.5,,,,,7.0,8.0,ttth,28,7
A00,7480202,,,,8.0,,,,6.5,7.0,,ttth,17,0
A00,7810201,,,,7.5,,,,8.0,6.8,,ttth,34,4
A00,7340129,,,,7.25,,,,8.25,7.0,,ttth,7,7
A00,7510203,,,,7.2,,,,5.0,5.25,,ttth,19,5
D01,7340201,7.75,,7.0,7.6,,,,,,,ttth,8,2
A00,7510303,,,,8.8,,,,7.25,6.5,,ttth,21,5
D01,7810202,7.0,,6.8,8.25,,,,,,,ttth,35,4
A00,7510402,,,,7.0,,,,4.25,5.25,,ttth,23,6
D01,7380107,6.2,,8.0,6.5,,,,,,,ttth,12,8
A01,7510301,,,7.2,6.5,,,,6.0,,,ttth,20,5
A00,7850101,,,,5.25,,,,5.25,7.8,,ttth,38,7
D15,7810201,7.0,4.8,7.75,,,,,,,,ttth,34,4
A01,7510301,,,8.4,7.0,,,,6.5,,,ttth,20,5
D01,7340120,8.4,,6.8,7.0,,,,,,,ttth,4,1
D01,7340101,6.8,,7.6,7.25,,,,,,,ttth,2,1
A00,7340115,,,,7.5,,,,7.0,8.2,,ttth,3,1
D01,7340115,7.4,,8.0,8.0,,,,,,,ttth,3,1
D01,7220201,7.0,,10.0,7.0,,,,,,,ttth,0,8
A00,7340115,,,,8.5,,,,7.75,7.4,,ttth,3,1
D01,7480202,4.25,,5.6,6.8,,,,,,,ttth,17,0
D01,7340129,6.4,,7.0,7.5,,,,,,,ttth,7,7
D07,7480201,,,8.0,6.75,,,,,8.2,,ttth,16,0
A00,7850101,,,,6.0,,,,7.25,7.0,,ttth,38,7
A00,7340201,,,,7.5,,,,7.5,8.6,,ttth,8,2
D01,7480202,5.75,,7.2,6.6,,,,,,,ttth,17,0
A00,7480202,,,,5.75,,,,4.0,7.4,,ttth,17,0
A00,7510401,,,,7.8,,,,7.0,6.75,,ttth,22,6
A01,7340115,,,8.4,7.5,,,,7.8,,,ttth,3,1
D07,7480201,,,7.2,8.0,,,,,8.0,,ttth,16,0
D01,7340115,8.25,,8.4,7.2,,,,,,,ttth,3,1
D01,7340120,8.0,,8.6,7.75,,,,,,,ttth,4,1
A00,7510202,,,,8.0,,,,7.25,7.4,,ttth,18,5
D01,7220201,7.2,,8.2,7.5,,,,,,,ttth,0,8
A00,7480201,,,,8.0,,,,5.75,8.5,,ttth,16,0
A01,7810202,,,8.4,7.25,,,,6.2,,,ttth,35,4
A01,7380107,,,7.4,7.5,,,,8.0,,,ttth,12,8
A00,7340201,,,,7.8,,,,7.25,7.0,,ttth,8,2
A00,7480202,,,,7.4,,,,6.5,6.0,,ttth,17,0
D07,7540101,,,6.8,7.75,,,,,7.0,,ttth,28,7
D07,7510401,,,5.0,7.6,,,,,4.75,,ttth,22,6
